ဎ	Dha
ဎက်	Dhet
ဎင်	Dhin
ဎင့်	Dhin
ဎင်း	Dhin
ဎစ်	Dhit
ဎည်	Dhyi
ဎည့်	Dhyi
ဎည်း	Dhyi
ဎတ်	Dhat
ဎန်	Dhan
ဎန့်	Dhan
ဎန်း	Dhan
ဎပ်	Dhap
ဎမ်	Dham
ဎမ့်	Dham
ဎမ်း	Dham
ဎယ်	Dhae
ဎံ	Dhan
ဎံ့	Dhan
ဎာ	Dhar
ဎာ့	Dhar
ဎား	Dhar
ဎိ	Dhi
ဎိတ်	Dheik
ဎိန်	Dhein
ဎိန့်	Dhein
ဎိန်း	Dhein
ဎိပ်	Dheik
ဎိမ်	Dhein
ဎိမ့်	Dhein
ဎိမ်း	Dhein
ဎီ	Dhee
ဎီး	Dhee
ဎု	Dhu
ဎုတ်	Dhok
ဎုန်	Dhon
ဎုန့်	Dhon
ဎုန်း	Dhon
ဎုပ်	Dhok
ဎုံ	Dhon
ဎုံ့	Dhon
ဎုံး	Dhon
ဎူ	Dhoo
ဎူး	Dhoo
ဎေ	Dhay
ဎေ့	Dhay
ဎေး	Dhay
ဎဲ	Dhae
ဎဲ့	Dhae
ဎော	Dhaw
ဎော့	Dhaw
ဎောက်	Dhauk
ဎောင်	Dhaung
ဎောင့်	Dhaung
ဎောင်း	Dhaung
ဎော်	Dhaw
ဎို	Dho
ဎို့	Dho
ဎိုး	Dho
ဎိုက်	Dhaik
ဎိုင်	Dhaing
ဎိုင့်	Dhaing
ဎိုင်း	Dhaing
ဎျ	Dhya
ဎျက်	Dhyet
ဎျင်	Dhyin
ဎျင့်	Dhyin
ဎျင်း	Dhyin
ဎျစ်	Dhyit
ဎျည်	Dhyi
ဎျည့်	Dhyi
ဎျည်း	Dhyi
ဎျတ်	Dhyat
ဎျန်	Dhyan
ဎျန့်	Dhyan
ဎျန်း	Dhyan
ဎျပ်	Dhyap
ဎျမ်	Dhyam
ဎျမ့်	Dhyam
ဎျမ်း	Dhyam
ဎျယ်	Dhyae
ဎျံ	Dhyan
ဎျံ့	Dhyan
ဎျာ	Dhyar
ဎျာ့	Dhyar
ဎျား	Dhyar
ဎျိ	Dhyi
ဎျိတ်	Dhyeik
ဎျိန်	Dhyein
ဎျိန့်	Dhyein
ဎျိန်း	Dhyein
ဎျိပ်	Dhyeik
ဎျိမ်	Dhyein
ဎျိမ့်	Dhyein
ဎျိမ်း	Dhyein
ဎျီ	Dhyee
ဎျီး	Dhyee
ဎျု	Dhyu
ဎျုတ်	Dhyok
ဎျုန်	Dhyon
ဎျုန့်	Dhyon
ဎျုန်း	Dhyon
ဎျုပ်	Dhyok
ဎျုံ	Dhyon
ဎျုံ့	Dhyon
ဎျုံး	Dhyon
ဎျူ	Dhyoo
ဎျူး	Dhyoo
ဎျေ	Dhyay
ဎျေ့	Dhyay
ဎျေး	Dhyay
ဎျဲ	Dhyae
ဎျဲ့	Dhyae
ဎျော	Dhyaw
ဎျော့	Dhyaw
ဎျောက်	Dhyauk
ဎျောင်	Dhyaung
ဎျောင့်	Dhyaung
ဎျောင်း	Dhyaung
ဎျော်	Dhyaw
ဎျို	Dhyo
ဎျို့	Dhyo
ဎျိုး	Dhyo
ဎျိုက်	Dhyaik
ဎျိုင်	Dhyaing
ဎျိုင့်	Dhyaing
ဎျိုင်း	Dhyaing
ဎြ	Dhya
ဎြက်	Dhyet
ဎြင်	Dhyin
ဎြင့်	Dhyin
ဎြင်း	Dhyin
ဎြစ်	Dhyit
ဎြည်	Dhyi
ဎြည့်	Dhyi
