ဌ	Hta
ဌက်	Htet
ဌင်	Htin
ဌင့်	Htin
ဌင်း	Htin
ဌစ်	Htit
ဌည်	Htyi
ဌည့်	Htyi
ဌည်း	Htyi
ဌတ်	Htat
ဌန်	Htan
ဌန့်	Htan
ဌန်း	Htan
ဌပ်	Htap
ဌမ်	Htam
ဌမ့်	Htam
ဌမ်း	Htam
ဌယ်	Htae
ဌံ	Htan
ဌံ့	Htan
ဌာ	Htar
ဌာ့	Htar
ဌား	Htar
ဌိ	Hti
ဌိတ်	Hteik
ဌိန်	Htein
ဌိန့်	Htein
ဌိန်း	Htein
ဌိပ်	Hteik
ဌိမ်	Htein
ဌိမ့်	Htein
ဌိမ်း	Htein
ဌီ	Htee
ဌီး	Htee
ဌု	Htu
ဌုတ်	Htok
ဌုန်	Hton
ဌုန့်	Hton
ဌုန်း	Hton
ဌုပ်	Htok
ဌုံ	Hton
ဌုံ့	Hton
ဌုံး	Hton
ဌူ	Htoo
ဌူး	Htoo
ဌေ	Htay
ဌေ့	Htay
ဌေး	Htay
ဌဲ	Htae
ဌဲ့	Htae
ဌော	Htaw
ဌော့	Htaw
ဌောက်	Htauk
ဌောင်	Htaung
ဌောင့်	Htaung
ဌောင်း	Htaung
ဌော်	Htaw
ဌို	Hto
ဌို့	Hto
ဌိုး	Hto
ဌိုက်	Htaik
ဌိုင်	Htaing
ဌိုင့်	Htaing
ဌိုင်း	Htaing
ဌျ	Htya
ဌျက်	Htyet
ဌျင်	Htyin
ဌျင့်	Htyin
ဌျင်း	Htyin
ဌျစ်	Htyit
ဌျည်	Htyi
ဌျည့်	Htyi
ဌျည်း	Htyi
ဌျတ်	Htyat
ဌျန်	Htyan
ဌျန့်	Htyan
ဌျန်း	Htyan
ဌျပ်	Htyap
ဌျမ်	Htyam
ဌျမ့်	Htyam
ဌျမ်း	Htyam
ဌျယ်	Htyae
ဌျံ	Htyan
ဌျံ့	Htyan
ဌျာ	Htyar
ဌျာ့	Htyar
ဌျား	Htyar
ဌျိ	Htyi
ဌျိတ်	Htyeik
ဌျိန်	Htyein
ဌျိန့်	Htyein
ဌျိန်း	Htyein
ဌျိပ်	Htyeik
ဌျိမ်	Htyein
ဌျိမ့်	Htyein
ဌျိမ်း	Htyein
ဌျီ	Htyee
ဌျီး	Htyee
ဌျု	Htyu
ဌျုတ်	Htyok
ဌျုန်	Htyon
ဌျုန့်	Htyon
ဌျုန်း	Htyon
ဌျုပ်	Htyok
ဌျုံ	Htyon
ဌျုံ့	Htyon
ဌျုံး	Htyon
ဌျူ	Htyoo
ဌျူး	Htyoo
ဌျေ	Htyay
ဌျေ့	Htyay
ဌျေး	Htyay
ဌျဲ	Htyae
ဌျဲ့	Htyae
ဌျော	Htyaw
ဌျော့	Htyaw
ဌျောက်	Htyauk
ဌျောင်	Htyaung
ဌျောင့်	Htyaung
ဌျောင်း	Htyaung
ဌျော်	Htyaw
ဌျို	Htyo
ဌျို့	Htyo
ဌျိုး	Htyo
ဌျိုက်	Htyaik
ဌျိုင်	Htyaing
ဌျိုင့်	Htyaing
ဌျိုင်း	Htyaing
