ဍ	Da
ဍက်	Det
ဍင်	Din
ဍင့်	Din
ဍင်း	Din
ဍစ်	Dit
ဍည်	Dyi
ဍည့်	Dyi
ဍည်း	Dyi
ဍတ်	Dat
ဍန်	Dan
ဍန့်	Dan
ဍန်း	Dan
ဍပ်	Dap
ဍမ်	Dam
ဍမ့်	Dam
ဍမ်း	Dam
ဍယ်	Dae
ဍံ	Dan
ဍံ့	Dan
ဍာ	Dar
ဍာ့	Dar
ဍား	Dar
ဍိ	Di
ဍိတ်	Deik
ဍိန်	Dein
ဍိန့်	Dein
ဍိန်း	Dein
ဍိပ်	Deik
ဍိမ်	Dein
ဍိမ့်	Dein
ဍိမ်း	Dein
ဍီ	Dee
ဍီး	Dee
ဍု	Du
ဍုတ်	Dok
ဍုန်	Don
ဍုန့်	Don
ဍုန်း	Don
ဍုပ်	Dok
ဍုံ	Don
ဍုံ့	Don
ဍုံး	Don
ဍူ	Doo
ဍူး	Doo
ဍေ	Day
ဍေ့	Day
ဍေး	Day
ဍဲ	Dae
ဍဲ့	Dae
ဍော	Daw
ဍော့	Daw
ဍောက်	Dauk
ဍောင်	Daung
ဍောင့်	Daung
ဍောင်း	Daung
ဍော်	Daw
ဍို	Do
ဍို့	Do
ဍိုး	Do
ဍိုက်	Daik
ဍိုင်	Daing
ဍိုင့်	Daing
ဍိုင်း	Daing
ဍျ	Dya
ဍျက်	Dyet
ဍျင်	Dyin
ဍျင့်	Dyin
ဍျင်း	Dyin
ဍျစ်	Dyit
ဍျည်	Dyi
ဍျည့်	Dyi
ဍျည်း	Dyi
ဍျတ်	Dyat
ဍျန်	Dyan
ဍျန့်	Dyan
ဍျန်း	Dyan
ဍျပ်	Dyap
ဍျမ်	Dyam
ဍျမ့်	Dyam
ဍျမ်း	Dyam
ဍျယ်	Dyae
ဍျံ	Dyan
ဍျံ့	Dyan
ဍျာ	Dyar
ဍျာ့	Dyar
ဍျား	Dyar
ဍျိ	Dyi
ဍျိတ်	Dyeik
ဍျိန်	Dyein
ဍျိန့်	Dyein
ဍျိန်း	Dyein
ဍျိပ်	Dyeik
ဍျိမ်	Dyein
ဍျိမ့်	Dyein
ဍျိမ်း	Dyein
ဍျီ	Dyee
ဍျီး	Dyee
ဍျု	Dyu
ဍျုတ်	Dyok
ဍျုန်	Dyon
ဍျုန့်	Dyon
ဍျုန်း	Dyon
ဍျုပ်	Dyok
ဍျုံ	Dyon
ဍျုံ့	Dyon
ဍျုံး	Dyon
ဍျူ	Dyoo
ဍျူး	Dyoo
ဍျေ	Dyay
ဍျေ့	Dyay
ဍျေး	Dyay
ဍျဲ	Dyae
ဍျဲ့	Dyae
ဍျော	Dyaw
ဍျော့	Dyaw
ဍျောက်	Dyauk
ဍျောင်	Dyaung
ဍျောင့်	Dyaung
ဍျောင်း	Dyaung
ဍျော်	Dyaw
ဍျို	Dyo
ဍျို့	Dyo
ဍျိုး	Dyo
ဍျိုက်	Dyaik
ဍျိုင်	Dyaing
ဍျိုင့်	Dyaing
ဍျိုင်း	Dyaing
ဍြ	Dya
ဍြက်	Dyet
ဍြင်	Dyin
ဍြင့်	Dyin
ဍြင်း	Dyin
ဍြစ်	Dyit
ဍြည်	Dyi
ဍြည့်	Dyi
ဍြည်း	Dyi
ဍြတ်	Dyat
ဍြန်	Dyan
ဍြန့်	Dyan
ဍြန်း	Dyan
ဍြပ်	Dyap
ဍြမ်	Dyam
ဍြမ့်	Dyam
ဍြမ်း	Dyam
ဍြယ်	Dyae
ဍြံ	Dyan
ဍြံ့	Dyan
ဍြာ	Dyar
ဍြာ့	Dyar
ဍြား	Dyar
ဍြိ	Dyi
ဍြိတ်	Dyeik
